Epoch, Time, loss_tr, acc_tr, loss_val, acc_val, acc_val_voting
1,   1.1238,  1.80472,   0.5585,  1.77897,   0.6505,   0.6989
2,   1.1196,  1.52910,   0.7826,  1.63662,   0.7097,   0.7527
3,   1.1182,  1.44258,   0.8504,  1.64232,   0.6935,   0.7527
4,   1.1183,  1.38646,   0.9026,  1.60542,   0.7231,   0.7742
5,   1.1185,  1.35127,   0.9292,  1.61868,   0.6935,   0.7419
6,   1.1176,  1.32440,   0.9477,  1.61931,   0.7151,   0.7312
7,   1.1238,  1.29633,   0.9662,  1.60993,   0.6989,   0.7419
8,   1.1175,  1.28051,   0.9758,  1.60095,   0.7124,   0.7742
9,   1.1203,  1.26514,   0.9827,  1.60058,   0.6882,   0.7742
10,   1.1137,  1.25452,   0.9895,  1.59732,   0.7016,   0.7634
11,   1.1157,  1.24224,   0.9931,  1.59220,   0.7177,   0.7634
12,   1.1137,  1.23301,   0.9967,  1.59472,   0.7097,   0.7634
13,   1.1058,  1.23424,   0.9940,  1.59188,   0.7070,   0.7527
14,   1.1076,  1.22752,   0.9970,  1.58087,   0.7204,   0.7527
15,   1.1206,  1.22634,   0.9988,  1.59443,   0.7177,   0.7742
16,   1.1169,  1.22486,   0.9979,  1.58636,   0.7204,   0.7742
17,   1.1204,  1.22232,   0.9985,  1.58778,   0.7312,   0.7742
18,   1.1134,  1.21730,   0.9997,  1.58485,   0.7258,   0.7634
19,   1.1162,  1.21812,   0.9988,  1.59399,   0.7097,   0.7742

[Info]Early stopping with best loss:  1.60542, best accuracy:   0.7231 and best voting accuracy:   0.7742
version: 1.0
load_state: False
save_state: False
test_only: False
test_original: False
data: GTZAN
sample_rate: 16000
hop_gap: 0.5
splits_per_track: 4
sigma_gnoise: 0.004
smooth_label: 0.3
epoch: 100
num_workers: 8
batch_size: 60
manual_lr: False
lr: 0.0001
lr_patience: 10
es_patience: 15
resnet_pretrained: True
fold: 8
device: cuda
log: _result/log/v1.0-fold8-Nov_03_16_53.txt
total_num_splits: 8
num_label: 10
